episode_E,Exploration Evolution
1809,0.047619047619047616
1810,0.10256410256410256
1811,0.07142857142857142
1812,0.14285714285714285
1813,0.10526315789473684
1814,0.08823529411764706
1815,0.05102040816326531
1816,0.08823529411764706
1817,0.07792207792207792
1818,0.3125
1819,0.0
1820,0.07142857142857142
1821,0.10666666666666667
1822,0.16666666666666666
1823,0.1111111111111111
1824,0.08433734939759036
1825,0.11764705882352941
1826,0.13157894736842105
1827,0.0
1828,0.23076923076923078
1829,0.25
1830,0.13432835820895522
1831,0.041666666666666664
1832,0.1
1833,0.14634146341463414
1834,0.05263157894736842
1835,0.13043478260869565
1836,0.11538461538461539
1837,0.16666666666666666
1838,0.1111111111111111
1839,0.06521739130434782
1840,0.03571428571428571
1841,0.15217391304347827
1842,0.1875
1843,0.13043478260869565
1844,0.09375
1845,0.08974358974358974
1846,0.35294117647058826
1847,0.08888888888888889
1848,0.12790697674418605
1849,0.041666666666666664
1850,0.021739130434782608
1851,0.1
1852,0.058823529411764705
1853,0.10526315789473684
1854,0.15789473684210525
1855,0.03125
1856,0.11363636363636363
1857,0.06956521739130435
1858,0.14583333333333334
1859,0.08
1860,0.0
1861,0.14285714285714285
1862,0.11764705882352941
1863,0.125
1864,0.0625
1865,0.19444444444444445
1866,0.20588235294117646
1867,0.15384615384615385
1868,0.16666666666666666
1869,0.23529411764705882
1870,0.030303030303030304
1871,0.15789473684210525
1872,0.15789473684210525
1873,0.15789473684210525
1874,0.125
1875,0.11267605633802817
1876,0.13793103448275862
1877,0.18181818181818182
1878,0.15384615384615385
1879,0.07894736842105263
1880,0.0
1881,0.25
1882,0.2631578947368421
1883,0.08333333333333333
1884,0.13043478260869565
1885,0.09523809523809523
1886,0.07142857142857142
1887,0.05084745762711865
1888,0.18181818181818182
1889,0.05263157894736842
1890,0.045454545454545456
1891,0.23529411764705882
1892,0.09090909090909091
1893,0.07407407407407407
1894,0.08333333333333333
1895,0.07216494845360824
1896,0.058823529411764705
1897,0.04878048780487805
1898,0.07142857142857142
1899,0.24
1900,0.09090909090909091
1901,0.047619047619047616
1902,0.16666666666666666
1903,0.09523809523809523
1904,0.11904761904761904
1905,0.09375
1906,0.125
1907,0.0975609756097561
1908,0.05555555555555555
1909,0.13043478260869565
1910,0.13636363636363635
1911,0.14285714285714285
1912,0.06666666666666667
1913,0.029411764705882353
1914,0.14285714285714285
1915,0.125
1916,0.08695652173913043
1917,0.10526315789473684
1918,0.12962962962962962
1919,0.046511627906976744
1920,0.045454545454545456
1921,0.06666666666666667
1922,0.10416666666666667
1923,0.045454545454545456
1924,0.11475409836065574
1925,0.043478260869565216
1926,0.0963855421686747
1927,0.18604651162790697
1928,0.12698412698412698
1929,0.125
1930,0.17647058823529413
1931,0.043478260869565216
1932,0.0425531914893617
1933,0.10483870967741936
1934,0.07894736842105263
1935,0.0
1936,0.10256410256410256
1937,0.21428571428571427
1938,0.0
1939,0.1111111111111111
1940,0.125
1941,0.21052631578947367
1942,0.047619047619047616
1943,0.06097560975609756
1944,0.0
1945,0.12
1946,0.09195402298850575
1947,0.0625
1948,0.10526315789473684
1949,0.10526315789473684
1950,0.125
1951,0.1232876712328767
1952,0.13636363636363635
1953,0.2
1954,0.058823529411764705
1955,0.05714285714285714
1956,0.13333333333333333
1957,0.2222222222222222
1958,0.02912621359223301
1959,0.13793103448275862
1960,0.0625
1961,0.1411764705882353
1962,0.0967741935483871
1963,0.15
1964,0.14285714285714285
1965,0.23529411764705882
1966,0.041666666666666664
1967,0.136986301369863
1968,0.06896551724137931
1969,0.10526315789473684
1970,0.1111111111111111
1971,0.0
1972,0.0594059405940594
